,Цена,Год,Километраж,Количество дверей,Количество мест,Длина,Ширина,Высота,Максимальная скорость,Разгон до 100,Лошадиные силы,Обороты в минуту,Город_ekaterinburg,Город_moskva,Город_novosibirsk,Город_rostov-na-donu,Город_sankt-peterburg,Город_vladivostok,Класс автомобиля_B,Класс автомобиля_C,Класс автомобиля_D,Класс автомобиля_E,Класс автомобиля_F,Класс автомобиля_J,Класс автомобиля_M,Коробка передач_Автомат,Коробка передач_Вариатор,Коробка передач_Механика,Коробка передач_Робот,Тип привода_задний,Тип привода_передний,Тип привода_полный,Тип двигателя_Электро,Тип двигателя_бензиновый,Тип двигателя_гибридный,Тип двигателя_дизельный
1,3440000.0,2023.0,1000.0,5.0,5.0,4865.0,1948.0,1695.0,200.0,5.411006711409379,226.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2,7760000.0,2024.0,1000.0,5.0,6.0,5218.0,1998.0,1800.0,180.0,5.3,449.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
6,8690000.0,2024.0,1000.0,5.0,6.0,5218.0,1998.0,1800.0,180.0,5.3,449.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
7,8170000.0,2024.0,1000.0,5.0,6.0,5218.0,1998.0,1800.0,180.0,5.3,449.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
8,8060000.0,2024.0,1000.0,5.0,6.0,5218.0,1998.0,1800.0,180.0,5.3,449.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
9,7030000.0,2023.0,1000.0,5.0,6.0,5080.0,1995.0,1800.0,180.0,5.3,449.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
12,9890000.0,2024.0,1000.0,5.0,6.0,5218.0,1998.0,1800.0,180.0,5.3,449.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
14,8230000.0,2024.0,1000.0,5.0,6.0,5218.0,1998.0,1800.0,180.0,5.3,449.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
17,8270000.0,2024.0,1000.0,5.0,6.0,5218.0,1998.0,1800.0,180.0,5.3,449.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
18,3920000.0,2023.0,1000.0,5.0,5.0,4450.0,1836.0,1572.0,190.0,3.7,428.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
19,6330000.0,2023.0,11000.0,5.0,7.0,5315.0,1985.0,1820.0,200.0,6.6,394.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
26,8130000.0,2024.0,1000.0,5.0,6.0,5218.0,1998.0,1800.0,180.0,5.3,449.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
27,4060000.0,2023.0,1000.0,5.0,5.0,4770.0,1895.0,1689.0,215.0,7.7,238.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
30,3730000.0,2023.0,1000.0,5.0,5.0,4865.0,1948.0,1695.0,200.0,5.41100671140938,226.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
32,8150000.0,2024.0,1000.0,5.0,6.0,5218.0,1998.0,1800.0,180.0,5.3,449.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
35,4190000.0,2023.0,1000.0,5.0,5.0,4775.0,1920.0,1671.0,200.0,7.6,249.0,5000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
39,1650000.0,2020.0,36000.0,5.0,5.0,4318.0,1831.0,1662.0,174.0,14.0,122.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
41,3900000.0,2023.0,1000.0,5.0,5.0,4770.0,1895.0,1689.0,215.0,7.7,238.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
42,440000.0,2013.0,178000.0,5.0,5.0,4285.0,1765.0,1715.0,160.0,13.0,119.0,6150.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
46,440000.0,2009.0,141000.0,5.0,5.0,4285.0,1765.0,1715.0,175.0,12.2,136.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
47,4040000.0,2023.0,1000.0,5.0,5.0,4450.0,1836.0,1572.0,190.0,3.7,428.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
54,5100000.0,2023.0,1000.0,5.0,7.0,5015.0,1950.0,1780.0,193.128,5.41100671140938,190.0,5000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
57,4190000.0,2024.0,1000.0,5.0,5.0,4770.0,1895.0,1689.0,215.0,7.7,238.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
58,6960000.0,2023.0,1000.0,5.0,5.0,5050.0,1995.0,1750.0,180.0,5.3,449.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
61,4140000.0,2023.0,1000.0,5.0,5.0,4770.0,1895.0,1689.0,215.0,7.7,238.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
62,1540000.0,2019.0,108000.0,5.0,5.0,4335.0,1825.0,1660.0,164.0,14.0,117.0,6000.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
66,4540000.0,2023.0,1000.0,5.0,5.0,4450.0,1836.0,1572.0,190.0,3.7,428.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
68,6480000.0,2023.0,1000.0,5.0,7.0,5315.0,1985.0,1820.0,200.0,6.6,394.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
70,2290000.0,2020.0,41000.0,5.0,5.0,4615.0,1846.0,1655.0,195.0,10.178483835005617,190.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
71,3560000.0,2023.0,14000.0,5.0,7.0,4722.0,1860.0,1705.0,195.0,8.5,197.0,5000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
73,1920000.0,2019.0,64000.0,5.0,5.0,4519.0,1831.0,1694.0,185.0,10.178483835005617,149.0,5300.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
74,1920000.0,2019.0,64000.0,5.0,5.0,4519.0,1831.0,1694.0,185.0,10.178483835005617,149.0,5300.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
76,1070000.0,2017.0,52000.0,5.0,5.0,4405.0,1790.0,1690.0,170.0,14.5,128.0,6000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
77,2880000.0,2023.0,6000.0,5.0,5.0,4691.0,1866.0,1660.0,195.0,10.178483835005617,190.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
78,2300000.0,2022.0,67000.0,5.0,7.0,4722.0,1860.0,1705.0,185.0,8.9,186.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
79,2070000.0,2021.0,72000.0,5.0,5.0,4330.0,1800.0,1609.0,190.0,8.4,150.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
80,2420000.0,2023.0,17000.0,5.0,5.0,4330.0,1800.0,1609.0,190.0,8.4,150.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
82,2680000.0,2023.0,4000.0,5.0,5.0,4380.0,1810.0,1615.0,195.0,8.1,147.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
83,3830000.0,2023.0,12000.0,5.0,7.0,4970.0,1940.0,1788.0,195.0,8.5,249.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
84,2700000.0,2022.0,29000.0,5.0,7.0,4722.0,1860.0,1705.0,185.0,8.9,186.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
85,1470000.0,2021.0,48000.0,5.0,5.0,4318.0,1831.0,1662.0,175.0,13.9,113.0,6150.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
86,1210000.0,2019.0,37000.0,5.0,5.0,4310.0,1780.0,1680.0,179.16184971098266,11.22996845425868,108.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
87,2580000.0,2024.0,2000.0,5.0,5.0,4472.0,1874.0,1581.0,185.0,9.8,150.0,6000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
88,3320000.0,2022.0,30000.0,5.0,5.0,4865.0,1948.0,1695.0,200.0,5.411006711409379,226.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
89,1930000.0,2021.0,23000.0,5.0,5.0,4500.0,1842.0,1705.0,186.0,9.8,147.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
90,2070000.0,2022.0,11000.0,5.0,5.0,4330.0,1800.0,1609.0,190.0,8.4,150.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
91,3790000.0,2023.0,10000.0,5.0,5.0,4605.0,1878.0,1643.0,210.0,6.9,238.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
92,1850000.0,2023.0,23000.0,4.0,5.0,4644.0,1814.0,1493.0,190.0,9.7,147.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
94,2190000.0,2021.0,31000.0,5.0,5.0,4472.0,1841.0,1574.0,185.0,9.8,143.0,6000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
95,4060000.0,2022.0,9000.0,5.0,7.0,4970.0,1940.0,1788.0,195.0,8.5,249.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
97,2680000.0,2022.0,19000.0,5.0,5.0,4691.0,1866.0,1660.0,195.0,10.178483835005617,190.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
99,2240000.0,2022.0,24000.0,5.0,5.0,4472.0,1841.0,1574.0,185.0,9.8,150.0,6000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
100,2620000.0,2023.0,7000.0,5.0,5.0,4515.0,1870.0,1565.0,188.03164556962025,10.178483835005617,167.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
101,3410000.0,2023.0,30000.0,5.0,7.0,4836.0,1910.0,1770.0,193.128,5.411006711409379,190.0,5200.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
102,4270000.0,2023.0,22000.0,5.0,7.0,4980.0,1950.0,1780.0,193.128,5.411006711409379,231.0,5250.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
103,2150000.0,2021.0,38000.0,5.0,7.0,4680.0,1845.0,1715.0,180.0,8.1,145.0,6000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
104,3280000.0,2023.0,8000.0,5.0,7.0,4720.0,1860.0,1705.0,210.0,8.4,197.0,5000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
106,2410000.0,2023.0,8000.0,5.0,5.0,4500.0,1842.0,1705.0,186.0,9.8,147.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
107,2220000.0,2022.0,23000.0,5.0,5.0,4330.0,1800.0,1609.0,190.0,8.4,150.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
108,2140000.0,2023.0,8000.0,5.0,5.0,4400.0,1830.0,1588.0,195.0,9.9,147.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
109,2160000.0,2023.0,15000.0,5.0,5.0,4330.0,1825.0,1660.0,180.0,11.22996845425868,150.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
